"ori_node";"des_node";"ori_layer"
2967;12071;2
2967;14170;2
2967;14531;2
2967;29151;2
2967;43116;2
2967;45712;2
2986;6498;2
2986;192396;2
2986;241404;2
3005;10706;2
3005;136392;2
3057;7761;2
3057;8561;2
3057;17543;2
3108;17744;2
3108;32014;2
3122;14170;2
3122;35268;2
3220;3860;2
3220;11215;2
3239;3488;2
3239;39815;2
3258;21863;2
3258;46973;2
3268;5042;2
3268;26018;2
3285;4704;2
3285;39598;2
3285;44345;2
3310;2168;2
3310;3921;2
3310;3950;2
3310;19038;2
3320;5823;2
3320;46157;2
3324;14553;2
3324;25104;2
3324;172423;2
3333;645;2
3333;15925;2
3333;26709;2
3333;28720;2
3333;35722;2
3333;45264;2
3333;225617;2
3348;5290;2
3348;28490;2
3348;32014;2
3348;36860;2
3348;38356;2
3348;240914;2
3361;2405;2
3361;4903;2
3391;11096;2
3391;44071;2
3433;3433;2
3433;7745;2
3433;38105;2
3438;10541;2
3438;13020;2
3438;18956;2
3438;28376;2
3438;50552;2
3479;1290;2
3479;29078;2
3486;30594;2
3486;38473;2
3486;50640;2
3488;3239;2
3488;3922;2
3488;39815;2
3488;48901;2
3489;4379;2
3489;28843;2
3492;29893;2
3492;221370;2
3499;9042;2
3499;12288;2
3499;36791;2
3507;1807;2
3507;2383;2
3507;40029;2
3507;40896;2
3517;1264;2
3517;2760;2
3517;2878;2
3517;23990;2
3517;47812;2
3517;203011;2
3518;15934;2
3518;29338;2
3518;32556;2
3518;41126;2
3530;5080;2
3530;22509;2
3530;34494;2
3597;21728;2
3597;37028;2
3607;10267;2
3612;21100;2
3612;22280;2
3627;6877;2
3627;13162;2
3627;21860;2
3627;40123;2
3628;413;2
3628;22034;2
3628;25580;2
3663;31481;2
3663;51044;2
3663;116333;2
3720;8730;2
3720;38178;2
3768;549;2
3768;11333;2
3768;31481;2
3789;37509;2
3789;41470;2
3860;3220;2
3860;9862;2
3883;17472;2
3883;43182;2
3921;2168;2
3921;5273;2
3921;7398;2
3921;8663;2
3921;16915;2
3921;18462;2
3921;19038;2
3921;24143;2
3921;37484;2
3921;38988;2
3922;2380;2
3922;3488;2
3922;16092;2
3922;47209;2
3948;18002;2
3950;3310;2
3950;44402;2
3957;4919;2
3957;10348;2
3957;17208;2
3957;30393;2
3957;51104;2
3958;1270;2
3958;5080;2
3958;11604;2
3958;16871;2
3958;20123;2
3958;20147;2
3958;21866;2
3958;30570;2
3958;38682;2
3958;40903;2
3958;135145;2
3960;435;2
3960;15808;2
3963;5797;2
3963;13962;2
3963;27382;2
3963;41207;2
3963;43943;2
3963;45739;2
4032;12913;2
4032;50493;2
4176;35082;2
4176;48374;2
4188;22717;2
4188;46942;2
4191;21665;2
4191;28716;2
4229;1495;2
4229;9255;2
4250;5749;2
4250;118166;2
4264;33089;2
4264;39483;2
4271;5826;2
4271;18415;2
4290;5772;2
4290;29072;2
4293;13573;2
4293;39980;2
4294;636;2
4294;35892;2
4319;7380;2
4319;14394;2
4330;1508;2
4330;229875;2
4341;9960;2
4341;29414;2
4341;43738;2
4341;50859;2
4342;5080;2
4342;20123;2
4349;12774;2
4349;34388;2
4355;6055;2
4355;6498;2
4355;11954;2
4355;14588;2
4355;23358;2
4355;43634;2
4379;3489;2
4379;244455;2
4387;13748;2
4387;24026;2
4390;16318;2
4390;48572;2
4392;20325;2
4392;34937;2
4392;36253;2
4437;28124;2
4437;44859;2
4453;5334;2
4453;18664;2
4454;1236;2
4454;37700;2
4467;13007;2
4467;19196;2
4480;8859;2
4480;17745;2
4480;19715;2
4480;25380;2
4480;28709;2
4480;29271;2
4480;35082;2
4485;1873;2
4485;20107;2
4485;36465;2
4514;7332;2
4514;18634;2
4514;49314;2
4514;133356;2
4515;906;2
4515;2029;2
4515;26198;2
4515;28135;2
4515;37490;2
4529;23868;2
4529;48742;2
4534;7611;2
4534;42938;2
4534;62474;2
4534;97632;2
4543;39815;2
4543;124317;2
4548;21492;2
4548;125751;2
4554;6245;2
4554;32412;2
4570;17355;2
4570;29271;2
4590;17490;2
4590;23021;2
4598;1113;2
4598;22331;2
4598;24142;2
4598;26777;2
4598;35053;2
4598;41890;2
4598;45479;2
4598;46929;2
4640;26618;2
4640;32040;2
4643;30495;2
4643;37494;2
4663;4919;2
4663;28622;2
4663;39490;2
4663;48562;2
4670;570;2
4670;708;2
4670;24372;2
4670;25451;2
4670;33602;2
4670;35458;2
4670;37496;2
4670;48882;2
4704;1082;2
4704;3285;2
4704;5334;2
4704;9910;2
4704;17171;2
4704;20751;2
4704;24752;2
4704;27780;2
4704;44345;2
4716;9600;2
4716;16871;2
4760;20751;2
4760;27780;2
4829;2187;2
4829;32496;2
4868;6865;2
4868;109815;2
4901;24193;2
4901;26709;2
4903;3361;2
4903;12956;2
4919;1807;2
4919;4663;2
4919;7300;2
4919;7611;2
4919;11603;2
4919;13167;2
4919;27192;2
4919;28337;2
4919;28622;2
4919;43673;2
4919;44715;2
4919;48572;2
4919;51104;2
5002;5892;2
5002;18835;2
5002;22272;2
5002;30363;2
5002;47492;2
5020;11972;2
5042;3268;2
5042;31481;2
5044;153;2
5044;998;2
5044;1965;2
5044;6771;2
5044;10761;2
5044;12686;2
5044;32625;2
5044;43092;2
5080;3530;2
5080;3958;2
5080;4342;2
5080;8995;2
5080;9354;2
5080;9649;2
5080;12702;2
5080;20123;2
5080;22509;2
5080;28041;2
5080;34494;2
5080;37047;2
5080;40903;2
5080;41457;2
5080;43402;2
5080;45852;2
5099;16192;2
5099;31922;2
5099;32927;2
5133;18260;2
5133;41126;2
5198;19615;2
5198;41501;2
5198;50506;2
5271;6194;2
5271;32782;2
5273;6318;2
5273;7399;2
5273;14007;2
5273;16401;2
5273;16544;2
5273;24964;2
5273;40101;2
5273;58599;2
5290;3348;2
5290;23302;2
5290;36860;2
5290;38356;2
5316;1254;2
5316;8309;2
5328;18664;2
5328;23024;2
5328;43634;2
5334;1082;2
5334;4453;2
5334;4704;2
5334;5594;2
5334;11034;2
5334;25688;2
5334;27240;2
5334;29338;2
5334;29401;2
5334;30927;2
5334;41126;2
5334;43090;2
5334;48364;2
5353;17543;2
5353;42605;2
5365;17490;2
5365;156651;2
5365;189351;2
5397;35082;2
5408;14588;2
5408;20296;2
5408;32040;2
5420;16623;2
5420;51185;2
5422;20147;2
5422;30570;2
5515;1833;2
5515;13050;2
5566;12323;2
5566;13210;2
5566;18671;2
5590;19579;2
5590;20536;2
5590;25815;2
5590;51224;2
5594;5334;2
5594;48465;2
5594;165619;2
5621;1873;2
5621;16214;2
5631;5334;2
5631;25688;2
5631;36698;2
5647;11991;2
5647;16984;2
5647;33089;2
5647;33514;2
5653;6779;2
5653;16266;2
5653;18275;2
5713;10761;2
5713;49950;2
5719;7300;2
5719;18467;2
5729;12138;2
5729;32412;2
5729;34189;2
5736;1234;2
5736;34601;2
5739;13156;2
5739;28519;2
5746;1965;2
5746;38510;2
5749;4250;2
5749;12192;2
5749;16018;2
5749;27857;2
5749;32072;2
5749;33574;2
5749;41883;2
5749;43678;2
5749;45019;2
5749;45434;2
5749;70958;2
5772;4290;2
5772;19699;2
5780;1495;2
