source;target;layer;year
1434215;466115;collab;2007
181077;22304884;collab;1993
1479429;1356251;collab;2011
2335802;209615;collab;1998
500359;1717780;collab;1978
651512;981847;collab;2010
3549946;2038381;collab;2007
668017;21754404;collab;2005
561063;1954738;collab;1996
53053318;688801;collab;2010
3638747;678043;collab;2009
1143638;53192;collab;2008
1031524;445271;collab;2010
1356251;583330;collab;2009
3504828;601959;collab;2011
47734866;2431681;collab;2001
84472;1031845;collab;2002
1370132;55271408;collab;2001
53591624;403822;collab;2010
6090;312700;collab;2011
2109588;16649;collab;2003
53554938;34117378;collab;2009
663683;1645842;collab;2008
1695830;624861;collab;2000
1520575;1168127;collab;1989
2358027;3365234;collab;2003
55396940;47707899;collab;1993
10553656;1633442;collab;2002
385931;59042;collab;2000
34063290;21997;collab;2011
407713;52290693;collab;2004
53498645;53578978;collab;1998
1819426;1200530;collab;2005
57153;1548517;collab;1993
1411009;2181032;collab;2004
1116167;1176051;collab;2008
689120;1219483;collab;2005
3365204;851440;collab;2000
1053557;426596;collab;2002
21997;1123088;collab;2011
3635892;2060748;collab;2010
1911914;1119998;collab;2007
152072;1456480;collab;2010
502782;3365308;collab;2009
3013450;976195;collab;2011
55175564;3365400;collab;2003
1990966;459308;collab;2001
3838781;2624870;collab;2011
18109727;1014928;collab;2008
1013864;1780247;collab;2008
1709164;561596;collab;2001
1826743;976195;collab;2011
359050;17897922;collab;2002
3530299;1894512;collab;2007
359050;257916;collab;1998
55840553;2323706;collab;1993
53094;110999;collab;1998
1631408;1456480;collab;2011
167442;1049568;collab;2003
494965;54170929;collab;2005
3365364;129563;collab;1989
1695628;662803;collab;2000
563443;55175564;collab;2008
9236988;1819604;collab;2009
3358021;93428;collab;2002
21997;42211270;collab;2008
2456978;1461050;collab;1999
3564951;1993470;collab;2008
10220044;1356259;collab;1999
358294;47491678;collab;1998
1219483;181077;collab;2002
1212598;1875230;collab;2009
10896622;494965;collab;2009
537351;257916;collab;2006
634165;616265;collab;1999
1478072;52560;collab;2002
3396174;122030;collab;2011
1628808;384014;collab;2002
489816;145518;collab;2000
92955;53698797;collab;2004
1123207;1710746;collab;2010
9432002;494965;collab;2010
3365479;1156820;collab;2003
10902020;1200530;collab;2011
586915;3362489;collab;2008
3485488;1128738;collab;2011
1138939;53781155;collab;1989
1591899;2164557;collab;2005
300056;1219483;collab;1988
1710746;384014;collab;2007
83891;1138939;collab;1993
237813;662803;collab;2003
3579489;134086;collab;2008
47192410;543701;collab;2001
18046451;23356016;collab;2003
1456480;6923352;collab;2001
2295139;1737218;collab;2009
491458;53067561;collab;2005
708524;1769228;collab;2003
