source;target;layer
9431811;347041;collab
1200530;10490302;collab
13205983;3546571;collab
1819604;981847;collab
3577492;51599466;collab
1402107;1417835;collab
588349;3316959;collab
1119998;494965;collab
3409131;852589;collab
10832690;1683900;collab
3313779;2914011;collab
634165;1633442;collab
47225740;3179124;collab
1309138;2021111;collab
12518928;47471283;collab
426596;417545;collab
5672440;3313407;collab
1091008;6829944;collab
991693;907634;collab
10707577;426596;collab
1765874;64290;collab
6159353;1894512;collab
56882784;1388049;collab
3829656;3829659;collab
3010168;210600;collab
705794;10832690;collab
1417835;3317727;collab
53637959;5730;collab
573577;384014;collab
508274;87624;collab
613094;1176515;collab
719981;27742;collab
3564564;975664;collab
55997346;1363826;collab
358294;1991506;collab
557751;1456480;collab
1993470;582393;collab
10224196;51599466;collab
1232150;332741;collab
907095;12459928;collab
1695628;1765874;collab
1258987;846634;collab
1111513;2164557;collab
1695628;662803;collab
3832258;695126;collab
2324949;795368;collab
1265522;1976061;collab
1332785;3365274;collab
353523;45909;collab
1370132;616265;collab
194289;59042;collab
23380572;3313407;collab
662872;851440;collab
286931;1790104;collab
795368;1265522;collab
1333303;1392090;collab
2309290;6829944;collab
188847;7817502;collab
58129;53067561;collab
2262242;35554435;collab
1752424;64290;collab
708524;179336;collab
553305;832491;collab
3214320;561596;collab
53591624;17902638;collab
2114277;19202;collab
1058778;3313407;collab
2033428;52290693;collab
42210600;59042;collab
393752;53067561;collab
828791;357786;collab
1151530;300979;collab
3549945;47237628;collab
1200530;257916;collab
40421340;3179124;collab
169069;1036356;collab
1608014;1818317;collab
3635891;7521;collab
9431812;1363826;collab
3549924;3365400;collab
21997;1109340;collab
3518941;1594915;collab
9432025;259224;collab
2314808;49740233;collab
1545830;13107612;collab
1995279;1126212;collab
40067;10706025;collab
1467162;18461058;collab
552;286931;collab
1852948;3109325;collab
442978;3526787;collab
491458;258675;collab
53159713;181077;collab
486954;824769;collab
34063281;253283;collab
3560784;1048896;collab
17927374;831237;collab
3586567;4115898;collab
47190796;92804;collab
299484;361097;collab
773154;1200530;collab
390017;2323706;collab
385681;233882;collab
1536123;51449022;collab
149736;3365456;collab
1521025;755515;collab
433468;695562;collab
1780247;2616261;collab
1934816;6115918;collab
2689917;502782;collab
487100;1152168;collab
738673;1022478;collab
1848411;385931;collab
994018;406798;collab
5925288;666668;collab
1807506;2229939;collab
3539699;731329;collab
47562251;1221423;collab
40422591;540819;collab
1089624;1645842;collab
2945658;846039;collab
47481939;55105366;collab
419063;47652218;collab
765465;683706;collab
403149;436123;collab
3552916;1199500;collab
1940208;335089;collab
6831619;1310109;collab
2335111;385346;collab
3832288;1399202;collab
3832249;1628808;collab
40419197;17902638;collab
276064;1140946;collab
84674;2263719;collab
9149894;1981909;collab
42138;3393270;collab
731329;47658298;collab
1695628;1542517;collab
42296873;10529311;collab
53599278;299610;collab
2320964;709853;collab
299610;54170929;collab
3629682;966585;collab
3443839;3823274;collab
51670;738673;collab
5819944;403145;collab
442978;1467208;collab
719117;1138939;collab
2470055;3823274;collab
2358027;17904819;collab
3629702;1410035;collab
1636878;18263368;collab
17937210;2167811;collab
755515;1086824;collab
860012;755515;collab
10832690;1176515;collab
1311639;513831;collab
3616121;2004084;collab
1361575;50224283;collab
5672440;3317730;collab
3860428;3100119;collab
1337792;52276208;collab
1200530;946875;collab
37126291;709570;collab
403149;1894512;collab
3332621;1993470;collab
55177847;974990;collab
93400;190200;collab
3365307;1628808;collab
1573007;738673;collab
53640323;907634;collab
2975450;2295139;collab
1167135;2097593;collab
1176515;1724006;collab
588349;51599466;collab
3313723;711568;collab
1769228;227307;collab
3629750;1710871;collab
1200159;1903859;collab
21997;1819604;collab
148819;30666;collab
753069;1639466;collab
561970;114000;collab
42138;748886;collab
463075;957070;collab
4774097;53067561;collab
1990966;1821484;collab
47177597;295616;collab
1298469;441490;collab
601959;688801;collab
755242;1456480;collab
3316978;210600;collab
3537479;47619090;collab
1687644;1780247;collab
55997346;47715902;collab
2263719;19202;collab
3377755;2437370;collab
19525;1976061;collab
2295139;1379912;collab
4328932;1819604;collab
55726596;2189701;collab
385681;561596;collab
110282;2338139;collab
3838781;253283;collab
18489316;403145;collab
3335676;1068779;collab
47639686;623711;collab
416961;2689917;collab
196752;1077618;collab
3560784;2164557;collab
10233808;332741;collab
1126212;3556509;collab
3538341;795368;collab
5031278;1500881;collab
3316959;53786510;collab
1053557;489816;collab
794527;1049568;collab
1406793;1399202;collab
385681;717601;collab
21722263;937815;collab
3315045;1058778;collab
2295139;1200530;collab
1402107;1628808;collab
1200159;1140946;collab
20544;1695628;collab
3365190;229270;collab
799135;3313779;collab
23396624;199499;collab
852431;70423;collab
283361;1173913;collab
1636878;9149894;collab
1644999;1015400;collab
10224196;3629706;collab
1117178;585496;collab
54557867;22304884;collab
137638;1765874;collab
60337;18960884;collab
1903859;755515;collab
22923487;1153162;collab
698871;3439731;collab
1520745;2298592;collab
794527;236731;collab
3472037;846388;collab
3577492;3629706;collab
3832258;1464329;collab
244289;180240;collab
616265;140972;collab
1705462;625296;collab
991693;261768;collab
994018;10564827;collab
1423759;281152;collab
2295139;6829944;collab
867633;1017214;collab
2539048;136487;collab
3635891;494965;collab
5201914;3546571;collab
1780247;561596;collab
7367383;64290;collab
509724;483299;collab
1628808;927949;collab
662803;340666;collab
3439731;1536123;collab
3352272;3365240;collab
2320964;21997;collab
3642249;920685;collab
1794430;358294;collab
527569;1536874;collab
5766956;632599;collab
1291393;56623483;collab
1165461;316437;collab
132076;1894512;collab
1807506;599167;collab
1667844;27742;collab
359050;53890749;collab
10527234;64290;collab
3494733;210600;collab
3365490;47527854;collab
2437370;954490;collab
55726596;51142331;collab
57153;2338139;collab
18663599;2229939;collab
53554938;2689917;collab
180240;1225906;collab
1140946;731329;collab
12716274;179336;collab
3505221;1109340;collab
1688876;1456480;collab
1123088;44685;collab
624861;54290641;collab
630735;1034757;collab
18109727;10514273;collab
3352270;209615;collab
22922143;955657;collab
855543;18633234;collab
3484733;1370132;collab
810078;1897282;collab
1826743;1790104;collab
538228;550081;collab
305047;1200530;collab
3619446;52816203;collab
47734866;2431681;collab
500359;1429782;collab
16649;110282;collab
47382659;5730;collab
3472037;3362489;collab
2073858;152084;collab
3365228;431325;collab
78072;907634;collab
406243;2007366;collab
1769228;65317;collab
851440;10832690;collab
53370111;7131;collab
10572467;384014;collab
1091668;790244;collab
1048079;852431;collab
2263719;708524;collab
1356251;19202;collab
1819604;21997;collab
82056;55932852;collab
1234470;664109;collab
3365190;1818317;collab
137638;275506;collab
169069;53554938;collab
3314566;1536874;collab
50318183;1780247;collab
3498783;2518238;collab
44685;12716274;collab
53650693;524350;collab
1488310;3365244;collab
50818823;1521045;collab
43994839;875189;collab
108716;1894512;collab
1200159;1128738;collab
9432024;18057148;collab
851440;1091668;collab
3313779;1903859;collab
10250325;738673;collab
808540;2295139;collab
10879335;21997;collab
137638;688801;collab
34061757;549565;collab
3522924;370792;collab
47190129;3079879;collab
1126212;50293022;collab
918978;1780247;collab
3618381;35554435;collab
53663192;616265;collab
1265696;58727;collab
256291;3321418;collab
9429566;18960884;collab
3832257;1467208;collab
3577492;976195;collab
1329528;1200530;collab
167442;1208922;collab
994018;10519177;collab
2157826;40419563;collab
1370132;37078;collab
2462390;52276208;collab
12518928;51449022;collab
3499291;1108242;collab
23480946;633471;collab
36495851;744303;collab
384014;1894512;collab
3561475;84674;collab
949212;2034264;collab
10220044;194352;collab
1351972;957070;collab
266758;868730;collab
3832264;1399202;collab
299484;2677845;collab
1064414;2343768;collab
1695628;731329;collab
219382;9095805;collab
3645659;1236596;collab
630735;244466;collab
21997;494965;collab
27742;998208;collab
3497873;755515;collab
359050;1109340;collab
3626301;3577493;collab
3299730;1897555;collab
3635891;1156820;collab
3576686;1123088;collab
1003006;436123;collab
2295139;385681;collab
239200;790244;collab
668758;40420077;collab
42296873;994018;collab
47754959;483555;collab
561063;1688876;collab
53591624;1117178;collab
3407799;406614;collab
3292829;3561475;collab
3317579;3365365;collab
3407799;1500881;collab
56366947;50818823;collab
668017;579503;collab
1219483;1710871;collab
40422604;341294;collab
17937210;980550;collab
603879;1047296;collab
781239;688801;collab
3835346;149201;collab
256291;1995279;collab
688801;3556509;collab
2004084;3549946;collab
498925;431388;collab
237813;1399202;collab
1631408;2624870;collab
3497619;1176051;collab
564386;18206946;collab
40425393;525422;collab
3629706;51598084;collab
10879335;976195;collab
47382659;1815433;collab
21890776;154743;collab
1990966;933867;collab
341294;1370132;collab
50239183;1464329;collab
1995279;3109325;collab
3571606;347041;collab
40422606;40422568;collab
588349;3629694;collab
2078186;464355;collab
13421357;53307089;collab
1213860;1053557;collab
3462799;1200530;collab
1995279;628230;collab
10706025;229417;collab
1025204;417545;collab
1493033;210600;collab
12925057;1993470;collab
51598084;630735;collab
282750;107801;collab
880017;52290693;collab
10832690;1053557;collab
1633442;2096458;collab
47724891;1011874;collab
17904819;498250;collab
811813;1200530;collab
169069;3078785;collab
3635706;305047;collab
1417835;1995279;collab
2133806;868899;collab
36495851;667542;collab
1095257;43950532;collab
5030637;976195;collab
506770;46908609;collab
561063;1148867;collab
3629717;1745056;collab
731329;794527;collab
1786377;1819426;collab
9428466;1142659;collab
3832251;632599;collab
1025204;1176051;collab
1559089;494965;collab
9431810;1363826;collab
740002;616265;collab
51670;726096;collab
1068779;359050;collab
47481939;976195;collab
