source;target;layer;timestamp
adelethorens;bastiengirod;favorites;2015-08-25
adelethorens;alinetrede;favorites;2015-08-25
adelethorens;bglaettli;retweets;2015-08-25
adelethorens;RegulaRytz;favorites;2015-08-25
adelethorens;bastiengirod;retweets;2015-08-25
adelethorens;NordmannRoger;retweets;2015-08-24
adelethorens;bastiengirod;favorites;2015-08-24
adelethorens;RegulaRytz;favorites;2015-08-24
adelethorens;adelethorens;favorites;2015-08-24
adelethorens;adelethorens;favorites;2015-08-24
adelethorens;bastiengirod;retweets;2015-08-24
adelethorens;bastiengirod;retweets;2015-08-23
adelethorens;alinetrede;retweets;2015-08-23
adelethorens;bglaettli;favorites;2015-08-22
adelethorens;RegulaRytz;favorites;2015-08-22
adelethorens;reb_ruiz;favorites;2015-08-22
adelethorens;bglaettli;retweets;2015-08-22
adelethorens;bglaettli;retweets;2015-08-22
adelethorens;RegulaRytz;favorites;2015-08-22
adelethorens;adelethorens;favorites;2015-08-22
adelethorens;adelethorens;favorites;2015-08-22
adelethorens;bastiengirod;favorites;2015-08-22
adelethorens;bglaettli;retweets;2015-08-22
adelethorens;NordmannRoger;retweets;2015-08-21
adelethorens;adelethorens;favorites;2015-08-21
adelethorens;bglaettli;retweets;2015-08-21
adelethorens;bastiengirod;favorites;2015-08-20
adelethorens;adelethorens;favorites;2015-08-20
adelethorens;adelethorens;favorites;2015-08-20
adelethorens;ahodgers;retweets;2015-08-19
adelethorens;RobertCramer_GE;retweets;2015-08-18
adelethorens;bastiengirod;retweets;2015-08-18
adelethorens;RegulaRytz;retweets;2015-08-18
adelethorens;NordmannRoger;retweets;2015-08-17
adelethorens;RegulaRytz;retweets;2015-08-17
adelethorens;bglaettli;retweets;2015-08-17
adelethorens;jcschwaab;retweets;2015-08-17
adelethorens;RegulaRytz;retweets;2015-08-17
adelethorens;RegulaRytz;retweets;2015-08-17
adelethorens;alinetrede;retweets;2015-08-17
adelethorens;bglaettli;retweets;2015-08-17
adelethorens;bastiengirod;retweets;2015-08-17
adelethorens;alinetrede;retweets;2015-08-17
adelethorens;RegulaRytz;retweets;2015-08-17
adelethorens;bastiengirod;retweets;2015-08-17
adelethorens;adelethorens;favorites;2015-08-17
adelethorens;adelethorens;favorites;2015-08-16
adelethorens;Elisabeth_S_S;retweets;2015-08-15
adelethorens;alinetrede;favorites;2015-08-15
adelethorens;cwasi;favorites;2015-08-15
adelethorens;M_Aebischer;favorites;2015-08-15
adelethorens;MathiasReynard;favorites;2015-08-15
adelethorens;RegulaRytz;favorites;2015-08-15
adelethorens;RegulaRytz;retweets;2015-08-15
adelethorens;RegulaRytz;retweets;2015-08-15
adelethorens;RegulaRytz;retweets;2015-08-15
